New mode =, AverageModel , dataset_limit=,700,estimation_limit=,300,estimation_dist=,0.8,estimation_min_group_size=,15,threshold_hit=,0,threshold_distance=,0.5,hit_score=,1,miss_score=,-4,hit_position=,0.5,miss_position=,0.9,nearest_sum_n=,2,queue_sum_n=,1,input_coef_avg_best=,0.1,output_size_avg_best=,0,random_sample_coef=,0.4,input_size_avg_worst=,1500,output_coef_avg_worst=,0
603.82
604.82
605.888
606.884
607.888
609.712
610.72
612.668
613.64
614.888
615.852
617
617.992
619.372
620.612
622.08,9.68051,-0.871194,-0.140445
624.26
625.856
626.888
630.66,9.65996,-0.602163,-0.177413
632.716,9.66298,-0.584273,-0.193579
633.712,9.66298,-0.584273,-0.193579,4.38989,-1.00742,-0.0484848
634.82,9.66298,-0.584273,-0.193579,4.38989,-1.00742,-0.0484848
635.824,9.66298,-0.584273,-0.193579,4.38989,-1.00742,-0.0484848
637.884,9.66298,-0.584273,-0.193579,3.3308,-1.07373,0.0919192,4.36519,-1.08549,-0.0545248
638.9,9.66298,-0.584273,-0.193579,4.37235,-1.07736,-0.0576828,7.96364,-3.57454,0.00871075,3.39426,-0.917213,0.102437,2.27486,-0.545816,0.108465
640.308,3.41061,-0.782128,0.10699,4.30979,-0.124132,0.0209596,5.34924,1.16147,-0.108087,7.96364,-3.57454,0.00871075,2.2774,-0.568607,0.106773
641.684,3.40792,-0.751881,0.0850362,4.34266,-0.207484,0.024059,5.37485,1.08327,-0.1128,7.96364,-3.57454,0.00871075,2.31976,-0.469895,0.0944028
642.8,7.59373,0.742683,-0.0917469,4.36104,-0.40482,0.0195201,5.38492,1.10602,-0.0431623,3.3829,-0.810915,0.0765253,6.43648,1.0602,-0.112327,8.10134,-3.31549,0.00365605,2.32126,-0.467271,0.0940851
643.792,4.37267,-0.390974,0.0276356,5.39022,1.06601,-0.0580849,3.41259,-0.693151,0.0692907,7.59015,0.767164,-0.108418,6.44545,1.01771,-0.114507,8.10134,-3.31549,0.00365605,2.31538,-0.430484,0.0804863
644.828,4.3852,-0.251907,0.0431869,5.38231,1.10658,-0.0603057,3.41259,-0.693151,0.0692907,7.56865,0.870346,-0.112468,6.443,1.06298,-0.0993796,8.10134,-3.31549,0.00365605,2.31978,-0.493269,0.0881287
645.808,4.38551,-0.302044,0.0466588,3.40695,-0.710949,0.0699558,5.51139,0.693187,-0.0640813,6.45773,1.0238,-0.100498,2.30362,-0.34077,0.0607361,8.10134,-3.31549,0.00365605
647.708,3.42343,-0.641304,0.0507061,4.4212,-0.212285,0.0525972,5.59671,0.130557,-0.12415,6.48919,0.831763,-0.113097,8.10134,-3.31549,0.00365605
648.72,3.40909,-0.696673,0.0515329,4.40789,-0.280429,0.0462911,5.59671,0.130557,-0.12415,6.5371,0.636805,-0.128966,8.09245,-3.34571,0.000884787
649.772,3.52763,-0.20839,0.0327464,4.41373,-0.316665,0.0390701,5.60096,0.088202,-0.117992,6.5631,0.590672,-0.102179,7.65573,0.372454,-0.142703,2.12164,-0.67415,-0.0112058
650.712,3.52763,-0.20839,0.0327464,4.4204,-0.336389,0.0320364,5.60096,0.088202,-0.117992,6.5471,0.657156,-0.113365,7.65909,0.307328,-0.151492,2.12446,-0.57285,-0.00359526
651.748,4.44693,-0.374722,0.0300845,6.53033,0.690316,-0.12039,5.49596,0.702872,-0.0781764,7.66072,0.281441,-0.156349,2.1092,-0.581121,-0.00463244
652.756,6.54238,0.603127,-0.130181,5.49751,0.692158,-0.0878545,4.45201,-0.313762,0.0392785,7.6589,0.273008,-0.176993,2.11699,-0.516757,-0.00869192
653.868,6.54819,0.677691,-0.0999677,5.49242,0.710644,-0.0896417,4.44136,-0.282532,0.0390396,3.46869,0.170791,0.0490729,7.66419,0.298161,-0.15302,8.71457,0.113812,-0.132505,10.7756,-0.27274,-0.0606314,9.6921,0.282823,-0.307284,2.11831,-0.437993,-0.00910541
654.852,4.44264,-0.251093,0.0392676,5.48293,0.706612,-0.124879,6.55616,0.64805,-0.0909754,3.45778,0.211667,0.0268949,7.66419,0.298161,-0.15302,8.49014,-1.22102,-0.0914299,10.7756,-0.27274,-0.0606314,9.6921,0.282823,-0.307284,2.17206,-0.198315,0.0283854,11.761,-0.541695,-0.190021
655.868,4.42331,-0.328533,0.0319261,5.48293,0.706612,-0.124879,6.55573,0.690178,-0.0740656,3.44593,0.243816,0.0122312,7.66419,0.298161,-0.15302,8.48582,-1.31613,-0.0908947,10.7756,-0.27274,-0.0606314,9.6921,0.282823,-0.307284,2.14857,-0.289928,0.0307111,11.761,-0.541695,-0.190021
656.948,4.42673,-0.314774,0.0373137,5.47582,0.720427,-0.147236,6.56088,0.704263,-0.0537201,3.43989,0.278329,0.0122642,8.70824,-0.307158,-0.0780662,9.69296,-0.0193882,-0.193378,7.46184,-1.03662,-0.0460277,10.7557,-0.0992035,-0.105291,11.7527,-0.597036,-0.220914,2.19995,-0.114744,0.0331545
657.88,4.42673,-0.314774,0.0373137,5.47582,0.720427,-0.147236,6.56088,0.704263,-0.0537201,3.43989,0.278329,0.0122642,8.70824,-0.307158,-0.0780662,9.69296,-0.0193882,-0.193378,7.46184,-1.03662,-0.0460277,10.7557,-0.0992035,-0.105291,11.7527,-0.597036,-0.220914,2.19995,-0.114744,0.0331545
661.188,4.41705,-0.236425,0.0257301,5.47058,0.768422,-0.138183,6.54357,0.767546,-0.0719886,3.43899,0.336892,0.0307718,8.70824,-0.307158,-0.0780662,9.70829,-0.21075,-0.20388,7.46105,-1.08723,-0.0234142,10.7557,-0.0992035,-0.105291,11.7468,-0.626121,-0.245783,2.19747,-0.0482555,0.0344804
663.04,4.41053,-0.256059,0.0181209,5.47058,0.768422,-0.138183,6.53278,0.810191,-0.0889061,3.43899,0.336892,0.0307718,8.7138,-0.301517,-0.0456229,9.70829,-0.21075,-0.20388,7.44576,-1.21915,-0.0247665,10.7557,-0.0992035,-0.105291,2.18332,-0.0310748,0.0104521,11.7468,-0.626121,-0.245783
664.644,8.70515,-0.3799,-0.0687144,9.71132,-0.213627,-0.197517,4.36705,-0.411813,-0.00218169,5.40989,0.0479858,-0.118999,6.54252,0.754809,-0.073267,10.7576,-0.0932227,-0.104123,3.43899,0.336892,0.0307718,7.69404,-0.017891,-0.0649194,2.17696,-0.0139742,0.0344934,11.7539,-0.380394,-0.182404
665.62,6.54563,0.745463,-0.0790857,7.6958,0.00508129,-0.0608951,4.37831,-0.382525,0.00610162,8.70391,-0.313238,-0.0784125,9.7098,-0.180593,-0.20707,5.4122,0.0301967,-0.121061,3.44988,0.370962,0.0556732,10.7574,-0.0661614,-0.107149,2.18081,-0.023592,0.0361944,11.7539,-0.380394,-0.182404
666.936,6.54592,0.746034,-0.0771646,7.69496,0.0635326,-0.0474842,4.38317,-0.400015,0.0108468,5.4176,0.0637459,-0.131998,3.43401,0.361331,0.0245086,8.70106,-0.179491,-0.0504403,9.69643,0.0369998,-0.18644,10.7442,0.0855205,-0.109435,2.19365,-0.0299209,0.0517253,11.7539,-0.380394,-0.182404
