New mode =, AverageModel , dataset_limit=,500,estimation_limit=,200,estimation_dist=,1,estimation_min_group_size=,15,threshold_hit=,0,threshold_distance=,0.5,hit_score=,1,miss_score=,-4,hit_position=,0.5,miss_position=,0.9,nearest_sum_n=,2,queue_sum_n=,1,input_coef_avg_best=,0.4,output_size_avg_best=,1,random_sample_coef=,0.33,input_size_avg_worst=,10,output_coef_avg_worst=,0.4
1428.04
1429.03
1430.55
1431.56,11.5395,-3.72301,-0.135136
1432.6,11.5395,-3.72301,-0.135136
1433.6,11.5395,-3.72301,-0.135136
1434.61,11.5744,-1.34913,-0.0538176
1435.63,11.1137,-1.50684,-0.0476176
1436.62,11.102,-1.43567,-0.0555754
1437.64,10.6962,-0.509911,-0.0222339
1438.97,10.6962,-0.509911,-0.0222339
1440.3,9.57947,-0.877231,-0.00939556
1441.34,11.3524,-0.775872,-0.0112513
1443.03,11.4285,-0.658429,-0.0221258
1444.4,10.6045,-0.788061,-0.022779
1445.44,10.5618,-0.93148,-0.0275198
1446.45,9.77219,-1.60761,-0.0344276
1447.44,9.72558,-1.32499,-0.0590257
1448.44,9.40793,-1.41682,-0.0631623
1450.39,8.39841,-1.10201,-0.0609268
1451.51,9.21538,-1.01034,-0.0623972,3.43575,1.01706,-0.115138
1452.53,9.11439,-1.14292,-0.0722984
1453.56,9.50373,-0.738018,-0.0790175
1454.56,9.46321,-0.88182,-0.0807639
1455.68,9.70458,-0.612404,-0.0956489
1456.69,9.64456,-0.625651,-0.105949
1457.75,9.69201,-0.652621,-0.109406
1458.98,9.49967,-0.778296,-0.117049
1459.96,9.17251,-0.899957,-0.104722
1460.96,9.30216,-0.871552,-0.0997545
1461.97,9.31273,-0.84303,-0.0983966
1464.23,9.28829,-0.867112,-0.0975603
1466.53,9.41753,-0.66369,-0.0990745
1467.54,9.40823,-0.624346,-0.101975
1468.68,9.45262,-0.433654,-0.106779
1469.65,9.42923,-0.40869,-0.105317
1470.65,9.32519,-0.234166,-0.110175
1471.63,9.31001,-0.272476,-0.106888
